slug,name,seed,latitude,longitude,alive
duke,duke,2,35.994033,-78.898619,true
albany-ny,albany-ny,15,42.652579,-73.756232,true
nevada-las-vegas,nevada-las-vegas,5,36.10779,-115.14376,true
cincinnati,cincinnati,10,39.103118,-84.51202,true
colorado,colorado,10,40.010325,-105.288973,true
saint-marys-ca,saint-marys-ca,11,37.84096,-122.10946,true
western-kentucky,western-kentucky,16,36.99032,-86.443602,true
belmont,belmont,11,36.166667,-86.783333,true
pacific,pacific,15,37.981726,-121.313414,true
ucla,ucla,6,34.070264,-118.444056,true
iona,iona,15,40.92583,-73.7875,true
wisconsin,wisconsin,5,43.073052,-89.40123,true
san-diego-state,san-diego-state,7,32.715329,-117.157255,true
gonzaga,gonzaga,1,47.65878,-117.426047,true
marquette,marquette,3,43.038902,-87.906474,true
florida-gulf-coast,florida-gulf-coast,15,26.4625,-81.7729,true
mississippi,mississippi,12,34.3663,-89.5368,true
villanova,villanova,9,40.046805,-75.335387,true
north-carolina-at,north-carolina-at,16,36.072635,-79.791975,false
oklahoma,oklahoma,10,35.208611,-97.445833,true
saint-louis,saint-louis,4,38.629185,-90.217432,true
miami-fl,miami-fl,2,25.721644,-80.279267,true
minnesota,minnesota,11,44.983334,-93.26667,true
illinois,illinois,7,40.11661,-88.24125,true
ohio-state,ohio-state,2,39.999063,-83.017339,true
louisville,louisville,1,38.216926,-85.762499,true
north-carolina,north-carolina,8,35.9086350917,-79.0424251556,true
boise-state,boise-state,13,43.60392,-116.20441,true
butler,butler,6,39.820606,-86.170089,true
indiana,indiana,1,39.171427,-86.518602,true
new-mexico-state,new-mexico-state,13,32.277755,-106.745579,true
kansas-state,kansas-state,4,39.199804,-96.581008,true
davidson,davidson,14,35.49999,-80.8453,true
georgetown,georgetown,2,38.9072,-77.0728,true
arizona,arizona,6,43.60392,-116.20441,true
notre-dame,notre-dame,7,41.70767,-86.248238,true
michigan-state,michigan-state,3,42.724783,-84.483212,true
southern,southern,16,30.52467,-91.19003,true
michigan,michigan,4,42.27721,-83.73818,true
kansas,kansas,1,38.958056,-95.247778,true
new-mexico,new-mexico,3,35.08389,-106.61861,true
oregon,oregon,12,44.035049,-123.047357,true
james-madison,james-madison,16,38.431599,-78.865158,true
pittsburgh,pittsburgh,8,40.441018,-79.960363,true
iowa-state,iowa-state,10,42.028866,-93.648031,true
harvard,harvard,14,42.380327,-71.13891,true
california,california,12,37.861111,-122.307917,true
north-carolina-state,north-carolina-state,8,35.785548,-78.67157,true
akron,akron,12,41.07523,-81.51154,true
virginia-commonwealth,virginia-commonwealth,5,37.548182,-77.453345,true
memphis,memphis,6,35.124799,-89.937585,true
syracuse,syracuse,4,43.047826,-76.143229,true
northwestern-state,northwestern-state,14,31.75004,-93.09639,true
florida,florida,3,29.64833,-82.34944,true
wichita-state,wichita-state,9,37.7192,-97.2931,true
temple,temple,9,39.979524,-75.145782,true
oklahoma-state,oklahoma-state,5,36.13223,-97.080897,true
montana,montana,13,46.861557,-113.98427,true
bucknell,bucknell,11,40.9546,-76.8836,true
missouri,missouri,9,38.933139,-92.373804,true
south-dakota-state,south-dakota-state,13,44.31,-96.79,true
valparaiso,valparaiso,14,41.461304,-86.962409,true
creighton,creighton,7,41.264767,-95.946916,true
colorado-state,colorado-state,8,40.5748361111,-105.080977778,true
